% Auto driving data (manual format)
@RELATION driving_data_auto_manual

@ATTRIBUTE s_left   REAL
@ATTRIBUTE s_lc     REAL
@ATTRIBUTE s_c      REAL
@ATTRIBUTE s_rc     REAL
@ATTRIBUTE s_right  REAL
@ATTRIBUTE left     {0,1}
@ATTRIBUTE right    {0,1}
@DATA
86,149,298,75,81,0,1
86,133,298,79,76,0,1
85,122,298,84,64,0,1
85,112,298,93,62,0,1
84,105,298,102,63,0,1
83,101,297,111,65,0,1
82,96,298,119,67,0,1
80,92,298,127,70,1,0
78,90,297,131,72,1,0
75,87,295,135,75,1,0
73,85,292,135,76,1,0
71,85,295,131,78,1,0
70,87,298,126,78,1,0
67,88,298,121,79,1,0
67,91,298,117,79,1,0
67,94,298,112,79,1,0
68,99,298,108,78,1,0
68,103,298,105,78,1,0
69,107,298,102,78,1,0
70,107,298,100,77,1,0
70,110,298,99,76,0,0
72,111,298,98,74,0,1
73,112,298,97,74,0,1
74,114,298,94,73,0,1
75,115,287,93,72,0,1
76,114,275,100,71,0,1
77,110,263,114,70,0,1
77,107,251,128,69,0,1
79,101,239,138,68,1,0
80,96,227,151,67,1,0
80,91,215,164,67,1,0
82,87,221,165,71,1,0
80,85,236,158,73,1,0
76,84,265,150,76,1,0
72,83,298,142,77,1,0
69,84,298,133,79,1,0
67,87,298,126,79,1,0
66,90,298,119,80,1,0
67,95,298,112,80,1,0
67,100,299,107,80,1,0
68,105,298,103,79,1,0
70,112,299,99,77,1,0
71,112,298,98,77,0,1
73,115,298,95,75,0,1
74,117,298,93,74,0,1
75,118,299,92,73,0,1
77,120,298,91,71,0,1
77,120,298,90,70,0,1
78,118,295,91,69,0,1
78,115,272,93,69,0,1
78,112,249,94,68,0,1
78,109,228,97,68,0,1
77,106,210,140,69,0,1
77,106,198,200,69,1,0
76,108,191,222,69,1,0
77,110,191,207,69,1,0
79,110,199,179,68,1,0
81,107,218,157,66,1,0
85,101,242,142,65,1,0
90,97,267,135,62,1,0
91,95,286,134,65,1,0
90,93,297,134,69,1,0
86,89,298,135,71,1,0
79,88,299,137,73,1,0
73,86,299,135,76,1,0
72,86,298,131,78,1,0
69,88,298,125,78,1,0
68,91,299,120,79,1,0
67,94,299,114,79,1,0
68,98,299,108,78,1,0
69,105,299,104,78,1,0
