% Datos de regresión de conducción (manual + auto)
@RELATION driving_regression
@ATTRIBUTE s_left   REAL
@ATTRIBUTE s_lc     REAL
@ATTRIBUTE s_c      REAL
@ATTRIBUTE s_rc     REAL
@ATTRIBUTE s_right  REAL
@ATTRIBUTE steering REAL
@DATA
86,149,298,75,81,-49.5
86,133,298,79,76,-39.5
85,122,298,84,64,-32.0
85,112,298,93,62,-29.5
84,105,298,102,63,-21.0
83,101,297,111,65,-12.0
82,96,298,119,67,-4.0
80,92,298,127,70,4.0
78,90,297,131,72,12.5
75,87,295,135,75,17.5
73,85,292,135,76,24.0
71,85,295,131,78,26.5
70,87,298,126,78,26.5
67,88,298,121,79,23.5
67,91,298,117,79,22.5
67,94,298,112,79,19.0
68,99,298,108,78,15.0
68,103,298,105,78,9.5
69,107,298,102,78,6.0
70,107,298,100,77,2.0
70,110,298,99,76,0.0
72,111,298,98,74,-2.5
73,112,298,97,74,-5.5
74,114,298,94,73,-7.0
75,115,287,93,72,-10.5
76,114,275,100,71,-12.5
77,110,263,114,70,-9.5
77,107,251,128,69,-1.5
79,101,239,138,68,6.5
80,96,227,151,67,13.0
80,91,215,164,67,21.0
82,87,221,165,71,30.0
80,85,236,158,73,33.5
76,84,265,150,76,33.0
72,83,298,142,77,33.0
69,84,298,133,79,32.0
67,87,298,126,79,29.5
66,90,298,119,80,25.5
67,95,298,112,80,21.5
67,100,299,107,80,15.0
68,105,298,103,79,10.0
70,112,299,99,77,4.5
71,112,298,98,77,-3.0
73,115,298,95,75,-4.0
74,117,298,93,74,-9.0
75,118,299,92,73,-12.0
77,120,298,91,71,-14.0
77,120,298,90,70,-17.5
78,118,295,91,69,-18.5
78,115,272,93,69,-18.0
78,112,249,94,68,-15.5
78,109,228,97,68,-14.0
77,106,210,140,69,-11.0
77,106,198,200,69,13.0
76,108,191,222,69,43.0
77,110,191,207,69,53.5
79,110,199,179,68,44.5
81,107,218,157,66,29.0
85,101,242,142,65,17.5
90,97,267,135,62,10.5
91,95,286,134,65,5.0
90,93,297,134,69,6.5
86,89,298,135,71,10.0
79,88,299,137,73,15.5
73,86,299,135,76,21.5
72,86,298,131,78,26.0
69,88,298,125,78,25.5
68,91,299,120,79,23.0
67,94,299,114,79,20.0
68,98,299,108,78,16.0
69,105,299,104,78,10.0
70,109,299,99,77,4.0
72,116,299,96,76,-1.5
73,118,299,93,74,-8.0
75,120,299,93,73,-12.0
76,121,299,90,71,-14.5
77,125,299,88,70,-18.0
78,123,298,88,68,-22.0
79,121,299,89,68,-22.5
79,117,299,91,67,-21.5
79,115,299,93,67,-19.0
79,111,299,96,67,-17.0
79,108,299,99,69,-13.5
78,105,295,102,69,-9.5
77,104,283,104,70,-6.0
77,103,271,104,70,-3.5
76,102,259,105,70,-3.0
75,102,247,106,71,-1.5
75,100,235,108,72,0.0
74,99,223,257,73,2.5
74,104,217,250,73,78.5
